from_id,to_id
18,22
18,29
18,40
18,43
18,54
18,57
18,91
18,106
18,139
18,153
18,155
18,159
18,162
18,163
18,450
18,451
18,453
18,456
18,460
18,461
18,463
18,466
18,468
18,469
19,57
19,163
19,506
19,517
19,524
19,534
19,558
19,564
19,570
19,571
19,588
19,598
19,616
19,618
19,644
19,646
19,655
19,668
19,683
19,686
19,690
22,18
22,29
22,47
22,62
22,73
22,94
22,101
22,106
22,132
22,142
22,155
22,162
22,163
22,172
22,461
22,466
22,1171
22,1298
22,1504
22,1930
22,2154
22,2915
22,2973
22,4698
22,28270
25,40
25,91
25,98
25,106
25,153
25,159
25,241
25,450
25,453
25,460
25,468
25,616
25,716
25,756
25,765
25,798
25,807
25,810
25,814
25,819
25,825
25,831
25,832
25,840
25,842
25,843
25,854
27,158
27,746
27,888
27,904
27,925
27,1627
27,7661
27,9732
28,114
28,964
28,974
29,18
29,40
29,57
29,75
29,91
29,106
29,142
29,153
29,155
29,159
29,162
29,163
29,461
29,571
29,1036
29,1041
29,1050
29,1061
29,3761
30,47
30,62
30,63
30,75
30,132
30,163
30,655
30,1072
30,1079
30,1093
30,17677
31,71
31,83
31,91
31,112
31,131
31,163
31,430
31,450
31,699
31,1114
31,1119
31,1132
32,93
32,137
32,1034
32,1145
32,1147
32,1148
32,1159
32,1163
32,1171
32,1189
32,1190
32,1198
32,1199
32,1202
34,30
34,75
34,78
34,163
34,814
34,819
34,1050
34,1086
34,1245
34,1246
34,1249
34,1252
34,1269
34,1274
34,1275
34,1281
34,1285
34,1288
34,1289
34,1290
40,18
40,25
40,29
40,43
40,54
40,83
40,91
40,98
40,106
40,139
40,153
40,163
40,451
40,456
40,461
40,964
40,1114
40,1171
40,1297
40,1298
40,1301
40,1309
43,18
43,40
43,78
43,106
43,153
43,159
43,168
43,172
43,810
43,1297
43,1390
43,1392
43,1399
43,1409
43,1410
43,1412
43,1415
43,1416
43,1419
43,1431
43,1432
43,1438
43,1440
43,1441
43,1443
43,1448
43,1449
43,1450
43,1451
47,22
47,30
47,62
47,73
47,93
47,94
47,132
47,451
47,724
47,1148
47,1298
47,1309
47,1483
47,1491
47,1504
47,1505
47,1506
47,1537
47,1548
47,1671
47,1672
48,683
48,1839
48,1843
48,1849
48,1855
48,1922
48,20334
54,18
54,29
54,57
54,73
54,94
54,111
54,155
54,461
54,964
54,1171
54,1298
54,1419
54,1554
54,2132
54,2143
54,2154
54,2160
54,3624
54,4855
54,5078
54,23927
54,30255
54,232794
57,18
57,19
57,29
57,54
57,62
57,71
57,75
57,78
57,101
57,106
57,127
57,153
57,155
57,162
57,163
57,461
57,1034
57,1045
57,1050
57,1202
57,1409
57,3064
57,3756
57,3761
57,3763
57,4291
57,4296
62,22
62,29
62,30
62,47
62,57
62,63
62,78
62,93
62,132
62,153
62,162
62,163
62,430
62,460
62,469
62,928
62,948
62,1050
62,1438
62,1474
62,1496
62,1516
62,1523
62,1528
62,1530
62,1532
62,1602
62,1609
62,1610
62,1627
62,1628
62,1629
62,1631
62,1635
62,1636
62,1643
62,1768
63,30
63,47
63,62
63,75
63,163
63,432
63,825
63,1132
63,1523
63,1874
63,1935
63,1942
63,2085
63,2207
63,2210
63,2313
63,2317
63,2400
66,47
66,73
66,1143
66,1145
66,1324
66,1325
66,1326
66,1327
66,1328
66,1331
66,1333
66,1399
66,1629
66,2317
66,2584
66,4855
66,5078
66,5300
66,5302
66,5670
66,6730
66,7123
66,12907
66,13725
66,14714
66,15124
66,15125
66,15191
66,15194
66,27622
66,33954
66,33962
66,110320
71,29
71,31
71,57
71,83
71,91
71,98
71,106
71,163
71,3624
71,40801
72,1034
72,1149
72,1504
72,2338
72,4326
72,4330
73,47
73,114
73,142
73,172
73,461
73,483
73,595
73,819
73,1132
73,1149
73,1171
73,1198
73,1298
73,1409
73,1483
73,1548
73,1554
73,1930
73,2522
73,2914
73,2921
73,2973
73,3063
73,3168
73,3453
73,3763
73,4516
73,4596
73,4597
73,4683
73,4698
73,4793
73,5255
73,5303
73,5363
73,5406
73,5412
73,5421
73,6340
73,6660
73,6927
75,29
75,30
75,34
75,57
75,62
75,63
75,83
75,87
75,132
75,137
75,153
75,162
75,163
75,469
75,716
75,1246
75,2973
75,3755
75,4213
75,4619
78,30
78,34
78,43
78,57
78,62
78,63
78,75
78,132
78,534
78,854
78,1396
78,1438
78,1528
78,1530
78,1576
78,2625
78,2973
78,3719
78,6100
78,152756
79,137
79,143
79,144
79,460
79,469
79,598
79,655
79,1050
79,1086
79,1163
79,1222
79,1483
79,1576
79,1622
79,1624
79,1664
79,1679
79,1718
79,1768
79,1796
79,1799
79,1950
79,1962
79,2240
79,2249
79,2265
79,2357
79,2358
79,2361
79,2464
83,31
83,40
83,75
83,91
83,98
83,106
83,131
83,155
83,159
83,163
83,450
83,453
83,588
83,819
83,854
83,1114
83,1274
83,3002
83,3004
83,3125
83,3131
87,75
87,706
87,716
87,928
90,153
90,157
90,158
90,173
90,189
90,263
90,419
90,842
90,1610
90,4470
90,5867
90,6705
90,7741
90,13136
91,18
91,25
91,29
91,31
91,40
91,71
91,79
91,83
91,98
91,106
91,137
91,139
91,153
91,155
91,163
91,450
91,453
91,461
91,468
91,644
91,746
91,815
91,1622
91,1799
91,4516
91,4528
91,6938
93,32
93,47
93,62
93,163
93,483
93,964
93,1034
93,1143
93,1145
93,1148
93,1149
93,1155
93,1163
93,1171
93,1450
93,1458
93,1610
93,2050
93,2338
93,2447
93,2452
93,2454
93,2529
93,2874
93,2886
93,2887
94,22
94,47
94,54
94,57
94,142
94,1050
94,1132
94,1202
94,1628
94,1635
94,2154
94,2338
94,2931
94,2932
94,2935
94,2944
94,3098
94,3101
98,40
98,71
98,83
98,91
98,106
98,450
98,468
101,22
101,57
101,460
101,686
101,928
101,1045
101,1086
101,1409
