id,public,gender,region,age
16,1,1,"zilinsky kraj, kysucke nove mesto",23
18,1,1,"zilinsky kraj, kysucke nove mesto",18
19,1,1,"zilinsky kraj, kysucke nove mesto",21
22,0,0,"zilinsky kraj, kysucke nove mesto",19
25,1,0,"zilinsky kraj, kysucke nove mesto",20
30,1,1,"zilinsky kraj, kysucke nove mesto",21
31,1,1,"zilinsky kraj, kysucke nove mesto",24
32,1,1,"zilinsky kraj, kysucke nove mesto",21
34,1,1,"zilinsky kraj, zilina",23
40,1,1,"zilinsky kraj, kysucke nove mesto",0
43,1,1,"zilinsky kraj, kysucke nove mesto",19
48,1,1,"zahranicie, zahranicie - ostatne",0
54,0,1,"zilinsky kraj, kysucke nove mesto",0
57,1,0,"zilinsky kraj, kysucke nove mesto",19
58,1,0,"zilinsky kraj, kysucke nove mesto",0
62,1,1,"zilinsky kraj, kysucke nove mesto",22
66,0,0,"zilinsky kraj, zilina",0
71,0,1,"zilinsky kraj, kysucke nove mesto",22
72,1,0,"zilinsky kraj, kysucke nove mesto",19
73,1,0,"zilinsky kraj, zilina",18
75,1,1,"zilinsky kraj, kysucke nove mesto",0
78,0,1,"zilinsky kraj, kysucke nove mesto",20
83,1,0,"zilinsky kraj, kysucke nove mesto",20
87,1,1,"zilinsky kraj, zilina",23
90,0,0,"zilinsky kraj, cadca",18
91,1,1,"zilinsky kraj, zilina",23
93,1,1,"zilinsky kraj, kysucke nove mesto",21
98,1,0,"zilinsky kraj, zilina",0
101,1,1,"zilinsky kraj, zilina",20
106,1,1,"zilinsky kraj, kysucke nove mesto",22
107,1,1,"zilinsky kraj, kysucke nove mesto",24
112,1,1,"zilinsky kraj, kysucke nove mesto",21
127,0,1,"zilinsky kraj, kysucke nove mesto",21
131,1,1,"zilinsky kraj, kysucke nove mesto",22
132,1,1,"zahranicie, zahranicie - ostatne",23
135,1,0,"zilinsky kraj, kysucke nove mesto",21
137,1,0,"zilinsky kraj, kysucke nove mesto",20
139,0,1,"zahranicie, zahranicie - ostatne",0
141,1,0,"zilinsky kraj, zilina",23
143,1,0,"zilinsky kraj, kysucke nove mesto",21
144,1,1,"zahranicie, zahranicie - francuzsko",22
153,1,1,"zilinsky kraj, kysucke nove mesto",21
155,1,1,"zilinsky kraj, kysucke nove mesto",20
157,1,0,"zilinsky kraj, cadca",0
158,1,0,"zilinsky kraj, cadca",0
159,1,1,"zilinsky kraj, kysucke nove mesto",22
162,1,1,"zilinsky kraj, kysucke nove mesto",22
163,1,1,"zahranicie, zahranicie - kanada",22
168,1,0,"zilinsky kraj, kysucke nove mesto",0
172,1,1,"zilinsky kraj, kysucke nove mesto",20
173,1,0,"zahranicie, zahranicie - francuzsko",0
189,1,1,"bratislavsky kraj, bratislava - okolie",0
203,0,0,"banskobystricky kraj, brezno",21
204,1,1,"banskobystricky kraj, brezno",22
222,1,1,"banskobystricky kraj, banska bystrica",27
229,1,1,"banskobystricky kraj, brezno",21
241,1,0,"zilinsky kraj, zilina",21
254,1,0,"trnavsky kraj, trnava",0
257,1,0,"trnavsky kraj, trnava",19
259,1,0,"zilinsky kraj, cadca",22
260,1,1,"zilinsky kraj, cadca",15
263,1,1,"zilinsky kraj, zilina",18
300,1,1,"zilinsky kraj, zilina",19
305,1,1,"zilinsky kraj, zilina",27
335,1,0,"banskobystricky kraj, brezno",0
392,1,0,"banskobystricky kraj, brezno",20
404,1,1,"banskobystricky kraj, brezno",27
419,1,0,"zilinsky kraj, cadca",0
420,0,1,"zilinsky kraj, cadca",27
430,0,1,"zilinsky kraj, kysucke nove mesto",24
450,1,0,"zilinsky kraj, kysucke nove mesto",22
451,0,1,"zilinsky kraj, kysucke nove mesto",18
453,1,1,"zilinsky kraj, kysucke nove mesto",22
456,1,1,"zilinsky kraj, cadca",18
459,0,1,"zilinsky kraj, cadca",19
460,0,0,"zilinsky kraj, zilina",21
461,1,1,"zilinsky kraj, kysucke nove mesto",0
467,0,1,"zilinsky kraj, cadca",19
468,1,0,"zilinsky kraj, kysucke nove mesto",20
480,1,0,"zilinsky kraj, zilina",18
483,1,0,"zilinsky kraj, kysucke nove mesto",0
506,1,0,"zilinsky kraj, zilina",20
514,1,0,"zilinsky kraj, kysucke nove mesto",0
524,1,0,"zilinsky kraj, cadca",0
534,1,0,"zilinsky kraj, kysucke nove mesto",0
542,1,0,"zilinsky kraj, zilina",20
544,1,0,"zilinsky kraj, zilina",0
558,1,0,"zilinsky kraj, kysucke nove mesto",0
564,0,0,"zilinsky kraj, kysucke nove mesto",18
588,1,0,"zilinsky kraj, zilina",23
595,1,1,"zilinsky kraj, zilina",19
616,0,0,"zilinsky kraj, kysucke nove mesto",18
644,0,0,"zilinsky kraj, zilina",18
